data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_pln;TYP_akywo_std
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000108817;PLN;43;43609.74;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000117198;PLN;880;856275.2;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000110383;PLN;1;1010.23;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000118170;PLN;150;145041;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000113130;PLN;10;10215.3;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000114559;PLN;302;305874.66;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000115697;PLN;800;804584;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000111928;PLN;737;733484.51;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Skarbowe;Rzeczpospolita Polska;PL0000113213;PLN;1;978.03;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Gwarantowane;Bank Gospodarstwa Krajowego;PL0000500328;PLN;184;183367.04;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Samorządowe;Gmina Aleksandrów Łódzki;PLO260500056;PLN;45;45815.9;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Samorządowe;Gmina Krasne;PLO320600029;PLN;20;15322.06;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Samorządowe;Gmina Lesznowola;PLO275200015;PLN;7;7138.3;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Samorządowe;Gmina Lesznowola;PLO275200023;PLN;10;10185.44;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Samorządowe;Gmina Miasta Sanok;PLO235600205;PLN;100;100364.99;obligacje
2025-09-30;Pekao TFI S.A.;Pekao PPK 2020 Spokojne Jutro;2020;Obligacje Samorządowe;Gmina Skwierzyna;PLO371000012;PLN;18;2944.63;obligacje
